_id,PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
3216815,324267577,23172160,14,2023-10-29T15:21:00,"100 Block Art Rooney Ave Pittsburgh, CA 15212",Y,North Shore,1,INJURY/TAMP/FIRE APP-HYD-ETC,3503(b)(1)(ii) Defiant Trespass Notice Posted by Sign(s),2205,1,6,-80.01577932158622,40.44678403083185
3216816,324267855,23172188,99,2023-10-29T16:00:00,"1400 Block Washington Blvd Pittsburgh, PA 15206",N,Highland Park,5,LOST PROPERTY,9504 Lost Property,1106,9,2,-79.90861667551917,40.470305633259095
3216817,325011489,23177628,10,2023-11-08T13:45:00,"500 Block Mc Clintock Ave Pittsburgh, PA 15214",N,Perry South,1,HARRASSMENT,2709 Harassment (Non-Specific),2614,,,,
3216818,325012536,23177663,99,2023-11-08T16:30:00,"600 Block Liberty Ave Pittsburgh, PA 15222",N,Central Business District,2,LOST PROPERTY,9504 Lost Property,201,6,6,-80.00162376467925,40.441780954713906
3216819,325019120,23177633,11,2023-11-08T15:00:00,"200 Block Dunseith St Pittsburgh, PA 15213",N,West Oakland,4,IDENTITY THEFT,4120 Identity Theft,402,6,3,-79.96488510210803,40.44046189244613
3216820,325020758,23177680,0,2023-11-08T16:43:00,"300 Block Moore Ave Pittsburgh, PA 15210",N,Knoxville,3,99,9994 PFA Service,3001,3,5,-79.99301004726036,40.411360091737684
3216821,325021980,23177694,0,2023-11-06T13:23:00,"Forbes Ave & Mc Kee Pl Pittsburgh, PA 15213",N,Central Oakland,4,99,9999 9999 - (Misc. Incident): non reportable vehicle accident,405,3,3,-79.95943525811083,40.43978804304202
3216822,325025014,23177735,27,2023-11-08T18:03:00,"Saw Mill Run Blvd & Whited St Pittsburgh, PA 15210",N,Carrick,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,2901,4,3,-79.99821371333422,40.39630513933892
3216823,325027233,23177688,99,2023-11-08T18:55:00,"Frankstown Ave & N Homewood Ave Pittsburgh, PA 15208",Y,Homewood North,5,AIDED CASE,9497 Aided Case,1302,9,2,-79.89630114868066,40.457404658847054
3216824,325027602,23176660,17,2023-11-05T14:30:00,Zone 6,N,,6,AGGRAVATED INDECENT ASSAULT,3125 Aggravated Indecent Assault.,,,,,
3216825,325030583,23177274,10,2023-11-04T23:00:00,"200 Block Meier Ln Pittsburgh, PA 15233",Y,Outside County,OSC,SIMPLE ASSAULT,2701 Simple Assault.,6699,4,3,-79.98580002462104,40.400279885546524
3216826,325031047,23177849,26,2023-11-08T21:38:00,"20 Block Kuhn St Pittsburgh, PA 15211",N,Mount Washington,3,THEFT BY EXTORTION,3923 Theft by Extortion.,1914,2,5,-80.01275551361488,40.42451724464943
3216827,324322512,23172464,10,2023-10-30T07:10:00,"7000 Block Kelly St Pittsburgh, PA 15208",N,Homewood South,5,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1303,9,2,-79.90181463020195,40.4566120541176
3216828,324346163,23172635,27,2023-10-29T19:00:00,"Frankstown Ave & N Homewood Ave Pittsburgh, PA 15208",N,Homewood North,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1302,9,2,-79.89630114868066,40.457404658847054
3216829,324355347,23172691,17,2023-10-30T07:40:00,Zone 1,N,,1,SEXUAL ABUSE OF CHILDREN,6312 Sexual Abuse of Children.,,,,,
3216830,324361662,23172714,13,2023-10-30T17:00:00,"400 Block Gilmore Ave Trafford, PA 15085",N,Outside County,OSC,RECEIVING STOLEN PROPERTY,3925 Receiving Stolen Property. / 9094 Recovered Stolen Vehicle (OUTSIDE CITY),6699,,,,
3216831,324368396,23172812,10,2023-10-30T20:41:00,"10 Block Cannon St Pittsburgh, PA 15205",N,Oakwood,6,TERRORISTIC THREATS,2706 Terroristic Threats.,2812,2,5,-80.06678141346175,40.42789184959178
3216832,324370933,23172841,99,2023-10-30T22:25:00,"100 Block N Craig St Pittsburgh, PA 15213",Y,North Oakland,4,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,404,,,-79.87838242783407,40.44332100326034
3216833,324376766,23172906,99,2023-10-31T01:48:00,"2900 Block N Charles St Pittsburgh, PA 15214",N,Perry South,1,MENTAL 201/302,9498 302 (Mental),2615,6,1,-80.01118366075582,40.470507697797274
3216834,324378912,23172920,99,2023-10-31T03:03:00,"200 Block S Highland Ave Pittsburgh, PA 15232",Y,Shadyside,4,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,705,8,2,-79.92529613194029,40.45875585891225
3216835,324392793,23172967,99,2023-10-31T07:29:00,"30 Block S 14th St Pittsburgh, PA 15203",N,South Side Flats,3,FOUND PROPERTY,9489 Found Property,1702,3,3,-79.98430568173151,40.42909424061503
3216836,324835175,23176519,14,2023-11-06T14:15:00,"James St & Dunloe Ave Pittsburgh, PA 15212",N,Central North Side,1,CRIM MISCHIEF,3304 Criminal Mischief.,2206,1,1,-80.00202342493581,40.45781641588135
3216837,324842383,23176740,0,2023-11-06T23:37:00,"3100 Block Chartiers Ave Pittsburgh, PA 15204",N,Sheraden,6,99,8106 Shots Fired,2022,2,5,-80.0611043000205,40.45387229670828
3216838,324870515,23176911,10,2023-11-05T15:00:00,"20 Block Maytide St Pittsburgh, PA 15227",Y,Carrick,3,HARRASSMENT,2709(a) Harassment. / 2709.A2 HARASSMENT - FOLLOW IN PUBLIC PLACE,2904,4,3,-79.98407819344023,40.384675596751926
3216839,324905388,23177012,0,2023-11-07T13:30:00,"400 Block Moore Ave Pittsburgh, PA 15210",N,Knoxville,3,99,9994 PFA Service,3001,3,5,-79.99515278572079,40.412006039524705
3216840,324274802,23172302,18,2023-10-29T20:50:00,"2000 Block Wyandotte St Pittsburgh, PA 15219",Y,Crawford-Roberts,2,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant,305,6,3,-79.97759790381808,40.43826361769635
3216841,324571775,23174140,0,2023-11-02T08:25:00,"Vensel Way & Embury St Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,99,9999 9999 - (Misc. Incident): Dispatch deer,2715,1,1,-80.0291225817028,40.472916290077876
3216842,324937448,23177260,6,2023-11-07T20:20:00,"4500 Block Minerva St Pittsburgh, PA 15224",N,Bloomfield,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,802,7,2,-79.95370387704328,40.46072873091626
3216843,324743806,23175119,10,2023-10-30T06:00:00,"60 Block Cortina Way Pittsburgh, PA 15234",N,Overbrook,3,SIMPLE ASSAULT,2701 Simple Assault.,3207,,,,
3216844,324941175,23177263,14,2023-11-07T21:10:00,"2100 Block Wylie Ave Pittsburgh, PA 15219",Y,Middle Hill,2,CRIM MISCHIEF,3304 Criminal Mischief.,501,6,3,-79.97924749008516,40.444890276742065
3216845,324946301,23177316,6,2023-11-07T23:30:00,"S 13th St & Fieger St Pittsburgh, PA 15203",Y,South Side Flats,3,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,1702,3,3,-79.98540576020977,40.430731731018135
3216846,324948745,23177359,99,2023-11-08T02:43:00,"4700 Block Interboro Ave Pittsburgh, PA 15207",N,Lincoln Place,4,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,3102,5,3,-79.90936727558716,40.37688311885214
3216847,324871430,23176881,27,2023-11-06T11:20:00,"3200 Block Niagara St Pittsburgh, PA 15213",N,South Oakland,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,409,3,3,-79.9604312181213,40.4339267036077
3216848,325044399,23177429,14,2023-11-08T18:00:00,"300 Block S Highland Ave Pittsburgh, PA 15232",N,Shadyside,4,CRIM MISCHIEF,3304 Criminal Mischief.,705,,,,
3216849,325046823,23177997,99,2023-11-09T07:00:00,"100 Block Calhoun Ave Pittsburgh, PA 15210",N,Carrick,3,FOUND PROPERTY,9489 Found Property,2902,4,3,-79.98917018745355,40.40601076525762
3216850,-3712002520,23173047,5,2023-10-31T09:00:00,"7500 Block Bennett St Pittsburgh, PA 15208",N,Homewood South,5,BURGLARY,3502 Burglary. / 3304 Criminal Mischief.,1304,9,2,-79.89220741554816,40.45528382554382
3216851,324414962,23173011,6,2023-10-31T09:39:00,"500 Block N Taylor Ave Pittsburgh, PA 15212",Y,Central North Side,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3925 Receiving Stolen Property. / 13(a)(31) Marijuana: Possession Small Amount / 1501 Drivers Required to be Licensed.,2206,1,1,-80.01233900798712,40.45657467249231
3216852,324444812,23173236,27,2023-10-31T16:35:00,"Kirkwood St & Centre Ave Pittsburgh, PA 15206",N,East Liberty,5,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1115,9,2,-79.92235785872315,40.46122401801522
3216853,324446568,23173281,0,2023-10-31T10:45:00,"Forward Ave & Commercial St Pittsburgh, PA 15218",Y,Squirrel Hill South,4,99,9999 9999 - (Misc. Incident): ,1408,5,3,-79.9058099276368,40.427660095667775
3216854,324462017,23173492,11,2023-11-01T02:10:00,"100 Block Poplargrove St Pittsburgh, PA 15210",N,Carrick,3,IDENTITY THEFT,4120 Identity Theft,2902,4,3,-79.98645852836628,40.39616848744541
3216855,324485311,23173603,6,2023-10-31T16:00:00,"Beatty Sq & Commerce St Pittsburgh, PA 15206",N,East Liberty,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1115,9,2,-79.92769988938458,40.45969430480338
3216856,324293343,23172442,14,2023-10-30T05:30:00,"1200 Block 5th Ave Pittsburgh, PA 15219",N,Bluff,2,CRIM MISCHIEF,3304 Criminal Mischief.,103,6,3,-79.98845370374711,40.43869325691536
3216857,324417127,23173107,0,2023-10-31T11:00:00,"3400 Block Webster Ave Pittsburgh, PA 15219",N,Upper Hill,2,99,9993 PFA Service with Weapons Supplement,506,6,3,-79.9616500933705,40.45485487361505
3216858,324914393,23176949,10,2023-11-07T11:46:00,"Forbes Ave & Stanwix St Pittsburgh, PA 15222",Y,Central Business District,2,RESIST ARREST/OTHER LAW ENFORC,"5104 Resisting Arrest or Other Law Enforcement. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",201,6,6,-80.00398521602821,40.441169679270885
3216859,324930766,23177154,26,2023-11-07T17:46:00,"300 Block Linnview Ave Pittsburgh, PA 15210",Y,Carrick,3,CONCEALING DEATH BASTARD CHILD,4303 General Lighting Requirements. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 627.02(b)(i) Possessing a small amount of marijuana,2902,4,3,-79.98446684310788,40.40367764721117
3216860,324530445,23173776,0,2023-11-01T13:50:00,"200 Block Shady Ave Pittsburgh, PA 15206",N,Shadyside,4,99,9999 9999 - (Misc. Incident): ,708,5,3,-79.92063686162334,40.430036065319804
3216861,324759027,23176178,6,2023-11-05T23:06:00,"500 Block Mc Clintock Ave Pittsburgh, PA 15214",N,Perry South,1,THEFT FROM AUTO,3934 Theft from Vehicle,2614,,,,
3216862,324517985,23173670,0,2023-11-01T09:30:00,"300 Block 5th  Ave Pittsburgh, PA 15222",N,Central Business District,2,99,9999 9999 - (Misc. Incident): ,201,6,6,-80.00029037044739,40.440526190504364
3216863,324632877,23174591,0,2023-11-03T00:18:00,"100 Block Bausman St Pittsburgh, PA 15210",N,Knoxville,3,99,9994 PFA Service,3001,,,-79.98798440958119,40.41446289712673
3216864,324633839,23174279,0,2023-11-03T04:53:00,"100 Block Wabash St Pittsburgh, PA 15220",N,West End,6,99,9999 9999 - (Misc. Incident): ,2019,2,5,-80.03456004563895,40.438190895696124
3216865,325055236,23178008,10,2023-11-09T08:05:00,"5th Ave & Seneca St Pittsburgh, PA 15219",N,Bluff,2,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",103,6,3,-79.97589031441747,40.43815491716252
3216866,325059326,23177991,99,2023-11-09T07:00:00,"800 Block Freeland St Pittsburgh, PA 15210",N,Allentown,3,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1803,3,5,-79.99364180115597,40.419150905990875
3216867,324248941,23171838,99,2023-10-29T01:10:00,"7th Ave & Smithfield St Pittsburgh, PA 15219",Y,Central Business District,2,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant / 3703 Driving Upon Sidewalk.,201,6,6,-79.99684402529861,40.442838204871606
3216868,324252723,23171916,3,2023-10-29T03:30:00,"S 18th St & Sidney St Pittsburgh, PA 15203",N,South Side Flats,3,ROBBERY,3701 Robbery. / 2702 Aggravated Assault. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3928 Unauthorized Use of Automobile and Other Vehicles.,1702,3,3,-79.98047172937527,40.429686856114635
3216869,324256251,23171978,6,2023-10-29T08:00:00,"Lawn St & Ophelia St Pittsburgh, PA 15213",N,South Oakland,4,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,409,6,3,-79.96577404988031,40.435747647646096
3216870,324256958,23172005,0,2023-10-29T09:35:00,"300 Block 3rd Ave Pittsburgh, PA 15222",N,Central Business District,2,99,9999 9999 - (Misc. Incident): Harassment,201,6,6,-80.00161356345536,40.438866132202165
3216871,324266286,23172120,99,2023-10-29T14:00:00,"7100 Block Mary Peck Bond Pl Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,1201,,,,
3216872,324261049,23171909,10,2023-10-29T12:26:00,"3500 Block Fleming Ave Pittsburgh, PA 15212",N,Brighton Heights,1,SIMPLE ASSAULT,2701 Simple Assault. / 3304 Criminal Mischief.,2703,1,1,-80.03847786920598,40.47859549639946
3216873,324271166,23172252,3,2023-10-29T19:19:00,"Smithfield St & 3rd Ave Pittsburgh, PA 15222",N,Central Business District,2,ROBBERY,3701 Robbery.,201,6,6,-79.99989132962422,40.438220057480564
3216874,324273716,23172301,27,2023-10-29T19:25:00,"Liberty Ave & S Evaline St Pittsburgh, PA 15224",N,Bloomfield,5,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,804,7,2,-79.94218102313188,40.45799068653658
3216875,324275420,23172311,99,2023-10-29T20:57:00,"1700 Block Perrysville Ave Pittsburgh, PA 15212",N,Perry South,1,MENTAL 201/302,9498 302 (Mental),2614,6,1,-80.00954802182409,40.46056913246381
3216876,324276854,23172337,6,2023-10-29T18:55:00,"500 Block N Dunfermline St Pittsburgh, PA 15208",N,Homewood South,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1303,9,2,-79.89474609616786,40.45316493826375
3216877,324289894,23172436,0,2023-10-30T05:35:00,"700 Block 2nd Ave Pittsburgh, PA 15219",N,Bluff,2,99,9999 9999 - (Misc. Incident): Cardiac arrest,103,6,6,-79.99459104985328,40.435334670473395
3216878,324324110,23172496,6,2023-10-30T09:00:00,"4400 Block Howley St Pittsburgh, PA 15224",N,Bloomfield,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,903,,,,
3216879,324335200,23172541,6,2023-10-30T07:30:00,"5800 Block Black St Pittsburgh, PA 15206",N,East Liberty,5,THEFT FROM AUTO,3934 Theft from Vehicle,1113,9,2,-79.92464652361116,40.46775216119375
3216880,324356346,23172682,27,2023-10-30T16:15:00,"5th Ave & Darragh St Pittsburgh, PA 15213",N,West Oakland,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,402,3,3,-79.96016834941912,40.44055453489371
3216881,324362050,23172750,0,2023-10-30T18:21:00,"Baum Blvd & Liberty Ave Pittsburgh, PA 15224",N,Bloomfield,5,99,3112 Traffic-Control Signals. / 9999 9999 - (Misc. Incident): non-reportable crash,804,7,2,-79.93964316707483,40.45663498367191
3216882,324414975,23173040,27,2023-10-31T08:45:00,"1900 Block Ley St Pittsburgh, PA 15212",N,Troy Hill,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2406,1,1,-79.98176499533265,40.466015912648494
3216883,324447445,23173249,23,2023-10-31T17:00:00,"Liberty Ave & Tito Way Pittsburgh, PA 15222",N,Central Business District,2,PUBLIC DRUNKENESS,5505 Public Drunkenness / 9998 Overdose Other,201,6,6,-79.9989566937349,40.44268589865075
3216884,324450380,23173260,0,2023-10-31T17:12:00,"7200 Block Mt Vernon St Pittsburgh, PA 15208",N,Homewood North,5,99,9999 9999 - (Misc. Incident): ,1302,9,2,-79.89440108300467,40.46119407835219
3216885,324452478,23170883,0,2023-10-31T20:30:00,"300 Block 3rd Ave Pittsburgh, PA 15222",N,Central Business District,2,99,9994 PFA Service,201,6,6,-80.00161356345536,40.438866132202165
3216886,324484595,23173580,6,2023-11-01T07:15:00,"1700 Block Jane St Pittsburgh, PA 15203",N,South Side Flats,3,THEFT FROM AUTO,3934 Theft from Vehicle / 7613(a) Computer Theft,1702,3,3,-79.98198023689191,40.426880679342375
3216887,324490233,23173617,6,2023-10-31T00:01:00,"1300 Block Paulson Ave Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1203,9,2,-79.90116533720962,40.468626799403125
3216888,324493716,23173627,6,2023-11-01T10:00:00,"Smithfield St & Forbes Ave Pittsburgh, PA 15222",N,Central Business District,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,201,6,6,-79.99909673065397,40.43942106406773
3216889,324506017,23173658,10,2023-11-01T11:00:00,"1400 Block Chicago St Pittsburgh, PA 15214",N,Northview Heights,1,HARRASSMENT,2709(a) Harassment.,2609,,,,
3216890,324511764,23173675,10,2023-11-01T12:00:00,"800 Block College Ave Pittsburgh, PA 15232",N,Shadyside,4,HARRASSMENT,2709(a) Harassment.,706,,,,
3216891,324516574,23173706,6,2023-11-01T12:15:00,"3000 Block Liberty Ave Pittsburgh, PA 15201",N,Polish Hill,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,605,7,6,-79.9714262593693,40.4583634275947
3216892,324518121,23173728,27,2023-10-31T19:30:00,"200 Block S Aiken Ave Pittsburgh, PA 15206",N,Bloomfield,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,806,7,2,-79.93760873906452,40.46332747211888
3216893,324518616,23173688,0,2023-11-01T12:20:00,Kerwick Ct,N,Outside State,5,99,9094 Recovered Stolen Vehicle (OUTSIDE CITY),7799,,,,
3216894,324522827,23173708,0,2023-11-01T13:11:00,"60 Block Emerald St Pittsburgh, PA 15210",N,Allentown,3,99,9999 9999 - (Misc. Incident): ,1803,3,5,-79.9917843180563,40.423366366804935
3216895,324523426,23173747,27,2023-11-01T13:45:00,"Sherwood Ave & Zephyr Ave Pittsburgh, PA 15204",N,Sheraden,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2018,2,5,-80.05292544464572,40.455751477134534
3216896,324525751,23173748,0,2023-11-01T14:37:00,"6th Ave & Smithfield St Pittsburgh, PA 15222",N,Central Business District,2,99,9998 Overdose Other,201,6,6,-79.99773447903236,40.441464422740395
3216897,324527202,23173746,6,2023-11-01T12:00:00,"2200 Block Wylie Ave Pittsburgh, PA 15219",N,Middle Hill,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,501,6,3,-79.9763280372264,40.445887292798275
3216898,324527216,23173722,0,2023-11-01T13:42:00,"2100 Block Spring St Pittsburgh, PA 15210",Y,Arlington,3,99,2701(b)(2) Simple Assault -  Child Under 12 / Adult 21 Or Older,1603,3,3,-79.97763407123789,40.41693496371103
3216899,324530270,23173770,10,2023-11-01T15:07:00,"Centre Ave & Commerce Ln Pittsburgh, PA 15206",N,East Liberty,5,RECKLESSLY ENDANGER ANOTH PER,2705 Recklessly Endangering Another Person. / 3743 Accidents Involving Damage to Attended Veh. or Property,1115,8,2,-79.93255116881011,40.4577189238273
3216900,324530506,23173287,10,2023-10-31T17:59:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,Central Business District,2,HARRASSMENT,2709(a) Harassment. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,201,6,6,-79.99688178462712,40.43480407292362
3216901,324531317,23173735,10,2023-11-01T14:05:00,"300 Block Brownsville Rd Pittsburgh, PA 15210",N,Knoxville,3,RECKLESSLY ENDANGER ANOTH PER,2705 Recklessly Endangering Another Person. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 607.03 Discharging Firearm or Airgun,3001,3,5,-79.98836277083815,40.41429746206476
3216902,324282919,23172370,99,2023-10-30T00:11:00,"Sandusky St N & E North Ave Pittsburgh, PA 15212",Y,Central North Side,1,AIDED CASE,9497 Aided Case,2206,1,1,-80.00456842711857,40.45585086146511
3216903,324283031,23172362,99,2023-10-29T23:40:00,"Smithfield St Brg Pittsburgh, PA 15222",N,Central Business District,2,MENTAL 201/302,9498 302 (Mental),201,,,,
3216904,324286360,23172392,14,2023-10-30T00:45:00,"300 Block Suncrest St Pittsburgh, PA 15210",N,Knoxville,3,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 901 Criminal Attempt,3001,3,5,-79.99322594236644,40.41056014142879
3216905,324287292,23172412,6,2023-10-30T00:45:00,"300 Block Suncrest St Pittsburgh, PA 15210",N,Knoxville,3,THEFT FROM AUTO,3934 Theft from Vehicle,3001,3,5,-79.99322594236644,40.41056014142879
3216906,324533095,23173836,27,2023-10-31T23:05:00,"Saw Mill Run Blvd & Parkfield St Pittsburgh, PA 15210",N,Overbrook,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,3204,,,,
3216907,324536085,23173820,27,2023-10-30T12:30:00,"100 Block Bakery Square Blvd Pittsburgh, PA 15205",N,Lincoln-Lemington-Belmar,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1201,9,2,-79.91538909932632,40.456123401954606
3216908,324536269,23173840,99,2023-11-01T17:15:00,"2700 Block Beechwood Blvd Pittsburgh, PA 15217",N,Squirrel Hill South,4,FOUND PROPERTY,9489 Found Property,1414,5,3,-79.91690148923836,40.42600201725089
3216909,324540047,23173787,99,2023-11-01T16:00:00,"200 Block Lothrop St Pittsburgh, PA 15213",Y,West Oakland,4,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,402,8,3,-79.96092869752826,40.442247023078565
3216910,324549879,23173970,27,2023-11-01T21:00:00,"S 25th St & E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1609,3,3,-79.96980931293,40.42784721481657
3216911,324553276,23173909,0,2023-11-01T19:02:00,"3800 Block 2nd Ave Pittsburgh, PA 15207",Y,South Oakland,4,AGRICULTURAL VANDALISM,3309 Driving on Roadways Laned for Traffic. / 6106 Firearms not to be Carried without a License. / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16% / 4703 Operation of Vehicle without Official Certif. of Inspection / 4303 General Lighting Requirements. / 3743 Accidents Involving Damage to Attended Veh. or Property / 3744 Duty to Give Information and Render Aid / 3736 Reckless Driving / 3703 Driving Upon Sidewalk. / 4706 Prohib. on Expend. for Emission Insp Prog.. / 3802(a)(1) DUI - General Impairment / 3714 Careless Driving,409,,,,
3216912,324582789,23174204,14,2023-11-01T16:00:00,"1500 Block Beechwood Blvd Pittsburgh, PA 15217",N,Squirrel Hill North,4,CRIM MISCHIEF (GRAFFITI),"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",1403,8,3,-79.91754331729838,40.44206648248047
3216913,324587381,23174227,6,2023-11-02T11:20:00,"1600 Block Waterfront Pl Pittsburgh, PA 15222",N,Strip District,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,203,,,,
3216914,324591261,23174166,11,2023-11-02T09:11:00,"5600 Block Baum Blvd Pittsburgh, PA 15206",N,Friendship,5,CREDIT CARDS,4106 Access Device Fraud,807,,,,
3216915,324279554,23172346,6,2023-10-29T22:49:00,"1600 Block Fallowfield Ave Pittsburgh, PA 15216",N,Beechview,6,THEFT,3921 Theft by Unlawful Taking or Disposition.,1920,4,5,-80.0239689958174,40.41048730245141
3216916,324281024,23172357,14,2023-10-29T23:47:00,"3000 Block Pioneer Ave Pittsburgh, PA 15226",N,Brookline,6,CRIM MISCHIEF,3304 Criminal Mischief.,1918,4,5,-80.02853294341092,40.39455201970872
